Rank,,Combined 20-24
NR,"Cumberland Law Review",NR
NR,"Current Legal Problems",NR
NR,"Currents: International Trade Law Journal",NR
NR,"Dalhousie Journal of Legal Studies",NR
NR,"Dalhousie Law Journal",NR
NR,"Dartmouth Law Journal",NR
NR,"Deakin Law Review",NR
NR,"Defense Counsel Journal",NR
NR,"Denning Law Journal",NR
NR,"Denver Journal of International Law and Policy",NR
NR,"Denver Law Review Forum [online]",NR
NR,"DePaul Business & Commercial Law Journal",NR
NR,"DePaul Journal for Social Justice",NR
NR,"DePaul Journal of Art, Technology & Intellectual Property Law",NR
NR,"DePaul Journal of Health Care Law",NR
NR,"DePaul Journal of Sports Law & Contemporary Problems",NR
NR,"Deviant Behavior",NR
NR,"Digest: National Italian American Bar Association Law Journal",NR
NR,"Digital Evidence and Electronic Signature Law Review",NR
NR,"Digital Law Asia [online]",NR
NR,"Drake Journal of Agricultural Law",NR
NR,"Drug Court Review",NR
NR,"Dublin University Law Journal",NR
NR,"Duke Environmental Law & Policy Forum",NR
NR,"Duke Forum for Law & Social Change",NR
NR,"Duke Journal of Comparative & International Law",NR
NR,"Duke Journal of Constitutional Law & Public Policy Sidebar [online]",NR
NR,"Duquesne Business Law Journal",NR
NR,"East West Review of Labor Law and Social Policy",NR
NR,"EC Tax Journal",NR
NR,"EC Tax Review",NR
NR,"Ecclesiastical Law Journal",NR
NR,"Ecology Law Currents [online]",NR
NR,"Edinburgh Law Review",NR
NR,"Edinburgh Student Law Review",NR
NR,"eJournal of Tax Research [online]",NR
NR,"Election Law Journal: Rules, Politics, and Policy",NR
NR,"Elon Law Review",NR
NR,"Emory Corporate Governance and Accountability Review [online]",NR
NR,"Employee Relations Law Journal",NR
NR,"Employee Responsibilities and Rights Journal",NR
NR,"Employee Rights and Employment Policy Journal",NR
